Marca,RENAULT,SEAT,VOLKSWAGEN,PEUGEOT,CITROEN,OPEL,FORD,MERCEDES,TOYOTA,AUDI,BMW,NISSAN,HYUNDAI,KIA,FIAT,DACIA,SKODA,VOLVO,MAZDA,SUZUKI,MITSUBISHI,HONDA,LAND ROVER,MINI,CHEVROLET,JEEP,ALFA ROMEO,SSANGYONG,LEXUS,SMART,PORSCHE,CHRYSLER,JAGUAR,DAEWOO,ROVER,LANCIA,SUBARU,SAAB,GALLOPER,DS,CUPRA,SANTANA,LADA,TESLA,DODGE,INFINITI,TATA,MG,ISUZU,DAIHATSU,TALBOT,MASERATI,AUSTIN,FERRARI,OTRAS MARCAS,LYNK&CO,CADILLAC,PONTIAC,BENTLEY,MAHINDRA,ROLLS ROYCE,HUMMER,ASTON MARTIN,MORRIS,ASIA MOTORS,DR,BERTONE,TRIUMPH,DFSK,WARTBURG,QUATTRO,LAMBORGHINI,POLONEZ,LOTUS,MORGAN,LINCOLN,ARO,BUICK,ZASTAVA,UMM,ALPINE,AUTOBIANCHI,OLDSMOBILE,MARTORELLI,POLESTAR,MERCURY,PLYMOUTH,MOSKVICK,CARBODIES,LANDWIND,DALLAS,AIWAYS,IVECO,GMC,MCLAREN,INNOCENTI,GEO,SWM,EVO,CATERHAM,PANTHER,MAXUS,THINK,UROVESA,MOBILIZE,ZHIDOU,SATURN,EAGLE,AMC,KTM,MATRA,TVR,JAC,PGO AUTOMOVIL,EXCALIBUR,FISKER,PROTON,SCION,APAL,BYD,COMARTH,MPM,FSM,HILLMAN,SUNBEAM,SECMA,GARBI,PILGRIM,BUGATTI,LEVC,PEGASO,RAYTON FIS,WIESMANN,DAX,NSU,RUSH,GREEN TOUR,HURTAN,SPYKER,BORGWARD,DELAHAYE,DELOREAN,HISPANO SUIZA,HOTCHKISS,RADICAL,AUVERLAND,DE TOMASO,DONKERVOORT,ECHARRI,HAIMA,JIANGNAN,PANHARD,QOROS,TRAMONTANA,VANDEN PLAS,VM COMPETICION,JENSEN
2022,2.185.843,2.158.958,2.084.234,2.050.497,1.872.446,1.754.272,1.753.114,1.279.545,1.217.399,1.170.561,1.104.996,978.806,837.228,726.356,554.646,486.343,377.324,297.052,275.298,271.326,269.015,264.979,194.486,187.232,165.952,139.472,107.154,85.088,82.010,75.268,66.829,62.503,60.439,57.029,54.335,38.536,36.365,35.929,29.434,29.321,24.390,16.491,15.341,12.846,10.898,9.897,9.533,7.643,5.893,5.075,4.776,4.304,3.770,3.758,3.365,3.327,2.835,2.221,2.139,1.457,1.399,1.277,1.160,1.005,762,762,730,690,659,605,590,567,482,477,448,447,390,380,357,287,285,237,230,194,190,179,168,154,143,138,122,118,106,105,101,99,96,80,70,61,50,46,45,43,41,39,31,28,26,25,19,19,18,17,16,16,14,13,12,12,12,12,8,8,8,7,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0
2021,2.208.868,2.163.180,2.045.295,2.053.160,1.888.739,1.784.686,1.774.441,1.246.597,1.154.630,1.146.615,1.080.186,976.724,791.577,670.422,547.850,450.852,361.586,289.631,266.088,270.477,269.005,266.175,192.516,177.550,170.253,132.353,108.324,84.011,77.815,75.576,63.270,65.861,60.164,62.957,58.658,39.898,35.527,37.534,30.558,25.050,11.720,16.784,15.747,8.078,11.046,9.810,10.414,753,6.057,5.234,4.865,3.894,3.828,3.707,3.395,527,2.868,2.249,2.044,1.472,1.388,1.280,1.112,979,766,258,745,682,466,609,600,536,489,460,446,447,392,378,356,292,225,245,231,195,0,180,166,156,142,141,121,6,107,107,102,99,96,22,6,60,49,1,51,43,0,11,32,28,26,28,19,20,11,17,16,14,14,14,11,7,12,12,8,7,8,7,6,5,3,2,5,5,5,4,4,4,2,1,3,2,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2020,2.245.588,2.156.904,2.011.284,2.056.085,1.912.201,1.822.558,1.806.024,1.218.162,1.104.492,1.126.431,1.052.099,970.645,750.179,622.217,552.764,416.653,345.670,279.623,255.941,269.058,268.748,268.183,190.091,168.468,174.649,125.787,111.129,82.626,72.424,75.241,59.731,69.563,59.209,70.386,63.781,41.463,34.293,39.321,31.945,21.268,931,17.140,16.260,4.720,11.174,9.739,11.468,7,6.248,5.395,4.922,3.593,3.901,3.641,3.371,0,2.900,2.267,1.961,1.462,1.374,1.271,1.089,959,772,242,771,673,198,610,617,481,491,442,445,445,399,368,361,298,191,254,233,197,0,182,169,160,141,149,121,0,109,106,93,101,96,0,0,58,49,0,60,43,0,0,33,27,26,25,19,21,1,16,13,9,14,14,10,5,12,12,9,7,8,8,6,4,2,0,5,6,5,3,4,4,0,1,3,2,2,0,2,2,2,1,1,0,1,0,0,1,0,1,1,0,2
2019,2.279.247,2.156.792,1.981.329,2.065.061,1.941.927,1.868.305,1.833.998,1.180.192,1.059.084,1.103.801,1.025.832,964.547,721.450,583.283,562.237,379.483,333.579,269.752,245.301,268.236,267.077,268.843,185.704,160.058,178.594,120.134,113.027,81.770,65.399,75.082,56.459,72.846,57.721,78.149,69.411,43.024,33.030,40.960,32.605,17.590,1.044,17.417,16.669,3.147,11.242,9.581,12.477,8,6.409,5.566,4.933,3.357,3.925,3.572,3.305,0,2.919,2.276,1.875,1.460,1.363,1.272,1.069,936,777,141,784,661,80,613,620,417,496,431,442,445,402,368,362,305,179,256,232,198,0,180,169,163,138,151,121,0,109,106,78,101,97,0,0,57,49,0,61,43,0,0,33,28,26,21,19,21,0,15,13,9,15,15,10,11,12,12,9,7,8,8,6,0,2,0,5,6,5,3,4,4,0,1,3,2,2,0,2,2,2,1,1,0,1,0,0,1,0,1,1,0,2
2018,2.296.942,2.126.075,1.926.883,2.048.338,1.956.379,1.888.357,1.849.412,1.127.523,1.000.126,1.066.899,986.791,939.014,677.074,532.451,558.197,328.006,314.982,258.325,226.012,264.583,257.446,267.024,180.551,146.987,182.463,109.940,115.076,79.706,57.051,71.981,52.540,76.690,54.431,87.701,76.645,45.002,30.886,42.832,33.335,13.736,252,17.740,17.158,965,11.319,8.126,13.691,7,6.654,5.729,4.975,2.998,3.964,3.457,3.293,0,2.922,2.301,1.782,1.401,1.342,1.261,1.034,893,785,6,806,645,11,614,617,343,502,416,434,442,406,363,366,311,136,261,230,199,0,178,170,165,133,161,121,0,109,107,46,100,98,0,0,55,49,0,62,44,0,0,34,30,29,18,19,19,0,16,13,0,15,21,10,15,11,3,9,7,8,7,6,0,2,0,5,6,5,3,4,4,0,1,3,1,2,0,2,2,1,1,1,0,1,0,0,1,0,1,1,0,2
2017,2.308.163,2.097.478,1.862.417,2.024.686,1.962.001,1.896.513,1.859.427,1.075.555,941.359,1.023.818,945.587,905.616,630.910,472.317,546.198,278.514,296.162,247.116,208.066,260.730,249.097,264.269,174.195,134.683,185.520,99.718,116.236,77.109,49.745,67.212,49.091,80.497,50.058,97.744,84.751,47.336,28.083,44.658,33.043,10.025,0,18.186,17.754,530,11.374,6.213,14.859,7,6.801,5.882,5.577,2.563,4.046,3.358,3.106,0,2.924,2.319,1.709,1.263,1.328,1.260,1.004,990,786,0,827,632,10,615,615,312,502,402,423,440,411,363,369,316,107,282,231,204,0,177,170,166,133,162,122,0,109,108,32,106,100,0,0,55,48,0,64,44,0,0,35,31,27,16,21,17,0,16,13,7,15,16,10,21,12,0,9,7,9,7,6,0,3,0,5,6,5,3,4,4,0,1,3,1,2,0,2,2,2,0,1,0,1,0,0,1,0,1,1,0,2
2016,2.296.715,2.068.334,1.800.235,1.997.070,1.956.915,1.886.722,1.857.779,1.021.805,884.939,975.904,903.006,867.011,590.232,419.818,528.738,233.369,280.249,237.742,192.024,256.242,242.632,260.595,166.080,122.692,187.831,94.680,115.731,73.898,43.794,62.825,45.904,83.615,46.564,106.854,92.771,49.363,26.111,46.080,33.793,6.898,0,18.591,18.381,113,11.403,4.341,15.997,8,7.009,6.046,5.770,2.093,4.108,3.256,3.017,0,2.918,2.357,1.620,1.135,1.314,1.252,976,986,793,0,842,624,10,618,625,282,508,378,418,434,418,363,374,319,104,293,231,206,0,179,171,167,133,162,123,0,110,107,24,109,101,0,0,53,48,0,67,46,0,0,35,31,28,16,21,18,0,17,13,5,16,15,10,22,12,0,9,7,9,7,6,0,3,0,5,6,5,3,4,3,0,1,3,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2015,2.295.024,2.055.335,1.742.280,1.974.996,1.954.655,1.873.580,1.860.157,974.249,839.176,932.993,865.398,834.038,553.481,372.227,515.746,189.650,264.976,228.505,176.252,253.863,236.770,255.825,157.476,111.569,189.723,90.659,115.949,70.639,38.370,57.585,43.120,86.630,42.951,116.102,101.366,51.237,24.316,47.377,34.562,2.867,0,18.975,19.071,43,11.438,3.052,16.964,8,7.213,6.227,5.981,1.777,4.180,3.156,2.920,0,2.915,2.385,1.530,1.040,1.312,1.250,941,980,801,0,871,617,10,624,627,257,520,369,417,432,426,359,386,323,104,314,230,209,0,181,173,168,134,162,126,0,112,108,19,111,128,0,0,53,48,0,83,46,0,0,36,38,28,14,21,18,0,17,13,4,19,12,6,21,12,0,9,7,9,7,6,0,3,0,5,7,7,2,4,3,0,1,3,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2014,2.316.365,2.050.479,1.691.249,1.969.275,1.963.722,1.881.527,1.869.138,936.136,800.471,900.233,838.944,805.698,524.478,333.184,514.118,145.108,251.826,223.095,163.543,254.287,232.045,253.394,150.262,102.687,191.211,87.315,116.981,67.949,33.880,53.368,40.574,89.918,41.289,127.004,111.498,53.121,22.795,48.921,35.474,0,0,19.427,19.871,27,11.463,2.503,17.960,8,7.448,6.430,6.381,1.546,4.255,3.073,2.772,0,2.902,2.444,1.457,959,1.295,1.250,910,977,812,0,903,603,10,632,638,240,528,360,418,427,433,355,399,333,98,322,229,212,0,183,177,169,130,161,127,0,115,107,15,114,131,0,0,50,48,0,92,46,0,0,39,41,28,12,21,17,0,16,13,3,20,10,6,22,12,0,9,7,9,5,7,0,3,0,5,8,7,2,4,3,0,0,5,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2013,2.353.849,2.062.413,1.658.256,1.982.389,1.982.889,1.905.482,1.889.735,911.480,769.206,878.431,822.846,793.018,504.371,307.854,518.898,109.128,241.479,220.934,156.234,256.433,231.110,251.934,144.705,96.823,190.128,87.283,118.266,66.251,30.900,51.618,38.840,93.667,40.420,138.307,122.693,54.192,21.816,50.584,37.188,0,0,19.998,21.134,5,11.485,2.012,18.741,7,7.779,6.693,7.048,1.371,4.466,2.998,2.638,0,2.903,2.514,1.389,923,1.280,1.241,879,983,835,0,937,585,7,671,638,221,543,355,416,421,455,349,414,347,93,356,230,227,0,184,187,175,126,161,128,0,116,108,13,118,133,0,0,47,49,0,93,44,0,0,37,41,29,11,23,17,0,16,14,2,23,7,6,14,10,0,9,7,8,5,7,0,2,0,5,9,8,2,4,3,0,0,1,1,2,0,2,2,0,0,2,0,1,0,0,1,0,1,1,0,2